threshold,videos_kept,videos_total,videos_with_sononet_pickle,videos_with_valid_4ch_probability,video_keep_rate_all_videos,video_keep_rate_with_pickle,video_keep_rate_with_valid_4ch_probability,qualifying_4ch_frames,total_valid_4ch_probability_rows,frame_keep_rate_among_valid_4ch_rows,mean_qualifying_frames_per_kept_video
0.3,152145,255137,255137,156472,0.5963266793918561,0.5963266793918561,0.9723464901068561,9017324,9241770,0.9757139595553666,59.26796148411055
0.4,144835,255137,255137,156472,0.5676754057623943,0.5676754057623943,0.9256288665064676,8466262,9241770,0.916086637083589,58.45453101805503
0.5,135150,255137,255137,156472,0.5297154078005151,0.5297154078005151,0.8637328084257886,7624854,9241770,0.8250426054749253,56.41771365149833
0.6,124672,255137,255137,156472,0.48864727577732747,0.48864727577732747,0.796768750958638,6690104,9241770,0.7238985605571228,53.661640143737166
0.7,113242,255137,255137,156472,0.4438478150954193,0.4438478150954193,0.7237205378598088,5749861,9241770,0.6221601489757914,50.774986312498896
