method,unit,score_col,disease,kind,n_folds,n_per_fold,ood_auroc_vs_normal_mean,ood_auroc_vs_normal_std,detection_rate_at_tau_mean,detection_rate_at_tau_std,recall_mean,recall_std,mean_ood_score_mean,mean_ood_score_std,mean_proba_chd_mean,mean_proba_chd_std
mc_dropout_mean_p0.3_T10,video,uncertainty_entropy,raa,seen,3,55.666666666666664,0.6107216521745664,0.19758499322044948,0.1188619697391627,0.08940340686621796,0.7294625452520189,0.16177569712466117,0.5759102497530382,0.11116431809876011,0.4562779148350334,0.2576629269302591
mc_dropout_mean_p0.3_T10,video,uncertainty_entropy,coa,seen,3,49.666666666666664,0.6162218440352129,0.20264052337565172,0.15862444044680582,0.1279827633581399,0.7566999958164247,0.148878656386637,0.5928835777937606,0.10708375288112659,0.4677815661609752,0.282325351018065
mc_dropout_mean_p0.3_T10,video,uncertainty_entropy,tga,seen,3,44.666666666666664,0.5963095606648171,0.2886878978607001,0.14088505824928738,0.13853688150024593,0.8223077096635908,0.12853576741936312,0.5849699713898255,0.09917135067420205,0.5393044484057571,0.30648333709517134
mc_dropout_mean_p0.3_T10,video,uncertainty_entropy,hlhs,seen,3,28.333333333333332,0.6902806471624267,0.23816137265912965,0.127763041556145,0.18896450696767286,0.7956086059534336,0.1508755225899611,0.7010784824016025,0.15622337175660206,0.49047515666107633,0.22689935399486577
mc_dropout_mean_p0.3_T100,video,uncertainty_entropy,tetralogy,held-out,3,115.0,0.6122512606340901,0.25088072952580415,0.12753623188405797,0.12369036691798184,0.7942028985507247,0.08578926717071733,0.6047424854378388,0.06834467868053262,0.5379363485788285,0.2541881823176532
mc_dropout_mean_p0.3_T100,video,uncertainty_entropy,avsd,held-out,3,86.0,0.630942787930226,0.2429185396668292,0.1511627906976744,0.14288611310981986,0.7984496124031008,0.11762783647669396,0.6207314792000892,0.07231190066715472,0.5430250605270484,0.25136408574394964
mc_dropout_mean_p0.3_T100,video,uncertainty_entropy,raa,seen,3,55.666666666666664,0.6215698568279092,0.20388372003932165,0.1071776663881927,0.05260550008533131,0.711825860948668,0.19895061280089432,0.5890025965106004,0.1212003876939875,0.45731884081374874,0.2601712952535261
mc_dropout_mean_p0.3_T100,video,uncertainty_entropy,coa,seen,3,49.666666666666664,0.6208246777403071,0.20205653307979066,0.1507230612614874,0.10777516971794379,0.6873586300185472,0.1729004016201218,0.6027591080859382,0.10178360415279177,0.468656690040032,0.2752461104102126
mc_dropout_mean_p0.3_T100,video,uncertainty_entropy,tga,seen,3,44.666666666666664,0.5989885961253482,0.2936225530074217,0.15522363364244188,0.12689399700924736,0.7988011702503705,0.15284956757700968,0.5917611892287581,0.10108325629646886,0.5445230800497339,0.3056207342109128
mc_dropout_mean_p0.3_T100,video,uncertainty_entropy,hlhs,seen,3,28.333333333333332,0.6833443512407741,0.2356409116740254,0.1287061597406425,0.12929099988554726,0.7590333038608902,0.15282303920393137,0.6910113270475744,0.14924312419521168,0.49260017120513644,0.24158147293552193
mc_dropout_mean_p0.3_T1000,video,uncertainty_entropy,tetralogy,held-out,3,115.0,0.6123858443043915,0.2510483179584222,0.11594202898550725,0.13311260873281197,0.8434782608695652,0.03135261978664339,0.6047864832435946,0.07019986825677256,0.5377839135927691,0.2540449874940134
mc_dropout_mean_p0.3_T1000,video,uncertainty_entropy,avsd,held-out,3,86.0,0.6307896847368704,0.24178925210574018,0.1627906976744186,0.13709100142501854,0.8449612403100776,0.05966978417961492,0.6226893420328595,0.07063469611614855,0.5437207951620149,0.25061092750836655
mc_dropout_mean_p0.3_T1000,video,uncertainty_entropy,raa,seen,3,55.666666666666664,0.6201538222718939,0.2029059857998858,0.10132971317181844,0.053884340749393446,0.7710247841826788,0.12426292139393273,0.5883989563423336,0.12268144785721025,0.4581408976540344,0.25937649844140165
mc_dropout_mean_p0.3_T1000,video,uncertainty_entropy,coa,seen,3,49.666666666666664,0.6170227462659197,0.19892501256671083,0.14673193044108826,0.1275558062543809,0.7419710217685368,0.0960043874715505,0.6007436118452884,0.1030520897527527,0.4691916706117902,0.27512313196309507
mc_dropout_mean_p0.3_T1000,video,uncertainty_entropy,tga,seen,3,44.666666666666664,0.5993528045609985,0.2921689061465536,0.1488609613200665,0.14735815037071,0.8548280348668427,0.07807703559529157,0.5930361344245073,0.0983706910221533,0.5443835625203278,0.304517457085257
mc_dropout_mean_p0.3_T1000,video,uncertainty_entropy,hlhs,seen,3,28.333333333333332,0.6841928062370384,0.2404569925510177,0.1402004126142057,0.14895253571583905,0.8050103153551428,0.10302745018505242,0.6921955576945957,0.15119478642337103,0.4920517701540481,0.24193251085179887
mc_dropout_mean_p0.3_T50,subject,uncertainty_entropy,tetralogy,held-out,1,115.0,0.6358302776322683,,0.10434782608695652,,0.8260869565217391,,0.7739320773796787,,0.6130523226223886,
mc_dropout_mean_p0.3_T50,subject,uncertainty_entropy,avsd,held-out,1,86.0,0.6441580274586719,,0.06976744186046512,,0.8255813953488372,,0.7856768775269033,,0.5948008719051994,
mc_dropout_mean_p0.3_T50,subject,uncertainty_entropy,raa,seen,1,42.0,0.6404905335628227,,0.07142857142857142,,0.7619047619047619,,0.7737381010244105,,0.5533969065706644,
mc_dropout_mean_p0.3_T50,subject,uncertainty_entropy,coa,seen,1,34.0,0.652462792345854,,0.029411764705882353,,0.7647058823529411,,0.7951602420517105,,0.5543057666543652,
mc_dropout_mean_p0.3_T50,subject,uncertainty_entropy,a_stenosis,held-out,1,26.0,0.6545412418906396,,0.19230769230769232,,0.7307692307692307,,0.7847981860935145,,0.5666336219471234,
mc_dropout_mean_p0.3_T50,subject,uncertainty_entropy,tga,seen,1,19.0,0.6794546607482561,,0.15789473684210525,,0.8947368421052632,,0.8191464612672545,,0.6200709476282722,
mc_dropout_mean_p0.3_T50,video,uncertainty_entropy,tetralogy,held-out,3,115.0,0.612039609836602,0.2498298678225864,0.12173913043478261,0.12985377846146154,0.8463768115942029,0.020081748493552213,0.6055882469707147,0.06576273285312854,0.5385847180516989,0.25289242171373144
mc_dropout_mean_p0.3_T50,video,uncertainty_entropy,avsd,held-out,3,86.0,0.6340829127647489,0.2423631062042001,0.16666666666666666,0.1587255444142889,0.8527131782945737,0.05495134449130944,0.6246713968181008,0.07102590618325044,0.5436162135524083,0.2503950691374766
mc_dropout_mean_p0.3_T50,video,uncertainty_entropy,raa,seen,3,55.666666666666664,0.623380959435107,0.1991269073869717,0.10078436832822797,0.08012039797134704,0.7831500046412326,0.11400414374041096,0.5906788634199999,0.11799619036871137,0.4582509061089113,0.2591014580829669
mc_dropout_mean_p0.3_T50,video,uncertainty_entropy,coa,seen,3,49.666666666666664,0.6154274315058696,0.20169707746543786,0.15049435914599282,0.1153610124894848,0.7813189418343583,0.10652186700573131,0.5973712538165749,0.10834784862418743,0.4698865639784809,0.27628572352597786
mc_dropout_mean_p0.3_T50,video,uncertainty_entropy,tga,seen,3,44.666666666666664,0.60066776300221,0.29369986515983965,0.1633537149432549,0.1401893249514382,0.861920233448403,0.08931744491229396,0.5935548442204446,0.09768058041935507,0.5451919126226182,0.3042856365717364
mc_dropout_mean_p0.3_T50,video,uncertainty_entropy,hlhs,seen,3,28.333333333333332,0.6788774548756228,0.2383091227915936,0.10610079575596816,0.12330651776307118,0.8161214264662542,0.09271350024642314,0.683583715226351,0.15430976691950815,0.48994857771943834,0.24406074192414257
vos,subject,ood_score,tetralogy,held-out,1,115.0,0.7759821896280775,,0.1565217391304348,,0.8695652173913043,,-0.9293375393618708,,0.42650296951482153,
vos,subject,ood_score,avsd,held-out,1,86.0,0.7608924068366489,,0.09302325581395349,,0.813953488372093,,-0.9351912847785062,,0.4006602399939195,
vos,subject,ood_score,raa,seen,1,42.0,0.743043602983362,,0.16666666666666666,,0.8333333333333334,,-0.9728992382685343,,0.3859949073133369,
vos,subject,ood_score,coa,seen,1,34.0,0.743532955350815,,0.11764705882352941,,0.7647058823529411,,-0.9659613528672386,,0.35958844667081447,
vos,subject,ood_score,a_stenosis,held-out,1,26.0,0.7275254865616312,,0.07692307692307693,,0.7692307692307693,,-0.9989144389445965,,0.354748727252277,
vos,subject,ood_score,tga,seen,1,19.0,0.8243500317057705,,0.15789473684210525,,0.8947368421052632,,-0.8409942670872337,,0.4636465611034318,
